feature1,feature2,feature3,feature4,feature5,feature6,target1,target2,target3,target4,target5
0.025421854,0.080333499,0.077309464,0.092324224,0.040629808,0.001053043,1.352162149,0.787831263,1.003136186,0.702815126,0.92866219
0.025851566,0.078445767,0.079483706,0.096989494,0.043635015,0.001425197,1.352534914,0.807962859,1.030230506,0.739574759,0.943253818
0.026281278,0.076524322,0.081783698,0.101464377,0.047148882,0.002129138,1.352426229,0.828591319,1.057719002,0.777176832,0.95789375
0.02671099,0.074611497,0.084172537,0.105641421,0.051162442,0.003186302,1.351848886,0.849681795,1.085570294,0.815570219,0.972564174
0.027140703,0.072754312,0.086608317,0.109404549,0.055660874,0.004604715,1.350815673,0.871199441,1.113753,0.854703794,0.987247278
0.027570415,0.071004151,0.089044414,0.112629791,0.060623638,0.006375391,1.34933938,0.893109408,1.142235739,0.89452643,1.001925252
0.028000127,0.069416398,0.091429832,0.115186132,0.066024672,0.00846855,1.347432798,0.915376851,1.17098713,0.934987002,1.016580284
0.028429839,0.068050007,0.093709609,0.116936473,0.07183265,0.01082975,1.345108717,0.937966921,1.199975791,0.976034383,1.031194564
0.028859552,0.066967032,0.09582526,0.117738681,0.078011276,0.013376021,1.342379926,0.960844773,1.229170341,1.017617449,1.045750279
0.029289264,0.0662321,0.097715285,0.117446739,0.084519642,0.015992076,1.339259216,0.983975558,1.2585394,1.059685073,1.060229619
0.029718976,0.065911854,0.099315706,0.115911976,0.091312619,0.018526724,1.335759376,1.00732443,1.288051585,1.102186128,1.074614772
0.030148688,0.066074347,0.100560652,0.112984368,0.098341288,0.020789584,1.331893196,1.030856542,1.317675516,1.14506949,1.088887928
0.0305784,0.066788411,0.101382974,0.108513911,0.105553418,0.022548219,1.327673467,1.054537046,1.347379812,1.188284032,1.103031274
